InMichelin,name,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
0,Bistro Croquant,50,50,45,45,706,131,11,2,1,1,0.5286911620908332,0.670096576668945,,,,
0,La Table de Colette,50,50,45,45,1079,187,18,6,5,4,0.4165836628604283,0.6890735421467215,,,,
0,Bella Cucina,45,45,40,40,1602,983,330,95,65,42,0.3906037698412699,0.5887542857142857,,,,
0,The Hanalei Gourmet,40,40,40,35,1201,462,463,161,57,38,0.2844875770263479,0.566384475474123,,,,
0,Ocean's Edge Restaurant,40,45,35,45,266,164,33,27,26,16,0.3018805351471644,0.5627344352022589,,,,
0,The Capital Grille,45,45,40,45,2107,1275,428,130,52,24,0.39614751798856995,0.612550599408034,,,,
0,Saffron Lounge,45,45,40,45,297,184,56,16,7,4,0.4649341850756532,0.6636742283583553,,,,
0,French Connection Bistro,45,40,40,40,2053,806,647,182,59,42,0.3838367029820073,0.5753499437168751,,,,
0,Spice Symphony,45,45,45,40,2848,1836,357,98,37,25,0.46633676368274585,0.6564939316635746,,,,
0,Harvest Kitchen,45,45,40,nan,661,458,134,35,14,11,0.4346102306130084,0.6616454265898711,,,,
0,The Vineyard,40,40,40,40,1131,583,295,133,66,48,0.4252815494065494,0.6292561801311802,,,,
0,Le Petit Chef - Singapore,40,45,35,nan,141,92,20,9,10,7,0.336639038448356,0.606386441247665,,,,
0,Blue Mermaid Restaurant,40,40,40,40,1746,698,519,226,81,36,0.4235282098192812,0.6291525333328241,,,,
0,The Tasting Room,45,45,40,40,553,313,160,34,24,19,0.3743424400117255,0.6272600692444512,,,,
0,Sunset Grill,45,45,45,40,954,614,229,76,26,9,0.4204282729656634,0.6001008698416594
0,Olive Branch Cafe,50,50,45,45,200,170,23,4,0,2,0.32533702918070984,0.62374580926459
0,The Orchard Tea Garden,35,30,30,40,1320,404,374,191,152,124,0.05149439323498704,0.5552522297618631
0,Fusion House,40,40,35,30,199,54,90,26,7,7,0.25845965249453595,0.554236043931378
0,The Spice Route,40,45,35,45,884,402,184,85,41,19,0.3468029411732863,0.6866720920312173
0,Cinnamon Bazaar,45,40,40,45,1060,531,250,95,64,51,0.3483764558642276,0.6523597583842149
0,Jade Palace,20,20,20,15,307,28,35,43,23,143,0.14515900685274394,0.5569917352182362
0,The Hungry Bear Cafe,40,40,45,nan,57,29,19,5,2,2,0.32182379056025817,0.5760877933244005
0,The Backyard Bar Stage and Grill,35,40,35,nan,172,68,56,30,9,8,0.2940175336842004,0.5943238229071561
0,The Corner Cafe,45,45,45,45,81,53,25,0,2,1,0.34483380173000056,0.5941331794434302
0,Red Lantern,50,50,45,50,3789,3627,122,15,8,6,0.48922940663007625,0.5585456435099293
0,The Greenhouse Restaurant,45,45,45,45,708,272,88,39,14,20,0.5279657842818558,0.6546792397050335
0,Laconia Local Eatery,45,45,40,40,265,176,49,22,10,5,0.29063513751469344,0.5754051511716682
0,The Roasted Bean,40,40,35,35,214,65,76,46,10,3,0.2418011925317481,0.5860582101026546
0,Rusty spoon,45,45,45,35,138,78,12,7,6,13,0.34097824488449485,0.5493906609531609
0,Urban Diner,40,40,35,40,197,52,90,29,14,12,0.24986496414904416,0.5474817687685102
0,Seafood Market,45,45,40,45,933,723,87,25,9,8,0.49153927193837915,0.6237820733499306
0,Mountain View Diner,40,40,40,30,203,75,73,31,9,12,0.2629354559086701,0.5548882117989261
